depth,BMPS,Blinkered,Full Deliberation,Meta-greedy,Optimal
2,0.004413591577242636,0.0037443329792926396,0.010790208754883119,0.003753298757388583,0.004398771605950327
3,0.00392704418813563,0.0034601057656551033,0.015264935345184312,0.003234149871621665,0.0039190314312465505
4,0.003681178853022126,0.003271428792954515,0.023963826781318205,0.002979850695404339,
5,0.003573807712718648,0.0031828032985068465,0.03939904834295758,0.0027983548412226,
6,0.003434313402991442,0.0031427685121364723,0.06660678619388623,0.003911096911673979,
