depth,BMPS,Blinkered,Full Deliberation,Meta-greedy,Optimal
2,0.35789794921875,0.3132015625,-0.1522453125,0.3079515625,0.36102666015625
3,0.3751902343750115,0.3570774088541628,-0.5115093750000056,0.3117182291666658,0.38429257812499407
4,0.39518544921875,0.3784544921875,-1.17992578125,0.3104265625,
5,0.40921957031248557,0.39077632812499247,-2.3679906250000213,0.3156365624999984,
6,0.4224876953125056,0.3994505533854205,-4.4863921875000825,0.29075364583332847,
